LAKE NAME,Code,Latitude,Longitude,Distance,Latitude_DD,Longitude_DD
Soora_Samudram,A19,"78°13'28.395""E","17°4'13.944""N",35.1,17.07054,78.22455
Soora_Samudram,A20,"78°13'28.803""E","17°4'15.911""N",41.1,17.07109,78.22467
Soora_Samudram,A21,"78°13'29.226""E","17°4'17.088""N",38.31,17.07141,78.22478
Soora_Samudram,A22,"78°13'29.697""E","17°4'17.873""N",27.85,17.07163,78.22492
Jannamma_Kunta,A1,"17°4'34.655""N","78°11'51.112""E",0.0,17.07629,78.19753
Jannamma_Kunta,A2,"17°4'34.414""N","78°11'50.626""E",16.195,17.07623,78.1974
Jannamma_Kunta,A3,"17°4'33.506""N","78°11'51.349""E",35.183,17.07597,78.1976
Jannamma_Kunta,A4,"17°4'32.07""N","78°11'51.806""E",46.283,17.07558,78.19772
Jannamma_Kunta,A5,"17°4'30.436""N","78°11'52.08""E",50.836,17.07512,78.1978
Jannamma_Kunta,A6,"17°4'28.841""N","78°11'52.649""E",51.915,17.07468,78.19796
Jannamma_Kunta,A7,"17°4'25.752""N","78°11'52.991""E",95.518,17.07382,78.19805
Jannamma_Kunta,A8,"17°4'25.252""N","78°11'53.758""E",27.429,17.07368,78.19827
Jannamma_Kunta,A9,"17°4'23.912""N","78°11'54.953""E",54.269,17.07331,78.1986
Jannamma_Kunta,A10,"17°4'24.276""N","78°11'56.116""E",36.207,17.07341,78.19892
Jannamma_Kunta,A11,"17°4'24.442""N","78°11'56.843""E",22.099,17.07346,78.19912
Jannamma_Kunta,A12,"17°4'24.798""N","78°11'57.178""E",14.807,17.07356,78.19922
Jannamma_Kunta,A13,"17°4'27.296""N","78°11'57.433""E",77.23,17.07425,78.19929
Jannamma_Kunta,A14,"17°4'28.999""N","78°11'58.823""E",66.661,17.07472,78.19967
Jannamma_Kunta,A15,"17°4'29.173""N","78°11'59.374""E",38.071,17.07477,78.19983
Jannamma_Kunta,A16,"17°4'30.986""N","78°11'59.266""E",37.892,17.07527,78.1998
Jannamma_Kunta,A17,"17°4'32.459""N","78°11'59.863""E",48.647,17.07568,78.19996
Jannamma_Kunta,A18,"17°4'33.128""N","78°12'0.529""E",28.584,17.07587,78.20015
Jannamma_Kunta,A19,"17°4'34""N","78°12'0.745""E",27.504,17.07611,78.20021
Jannamma_Kunta,A20,"17°4'35.173""N","78°12'0.86""E",36.306,17.07644,78.20024
Jannamma_Kunta,A21,"17°4'35.303""N","78°12'0.59""E",8.886,17.07647,78.20016
Komati_Kunta,A1,"17°4'48.803""N","78°7'21.688""E",0.0,17.08022,78.12269
Komati_Kunta,A2,"17°4'49.148""N","78°7'21.162""E",18.816,17.08032,78.12254
Komati_Kunta,A3,"17°4'50.023""N","78°7'21.997""E",36.499,17.08056,78.12278
Komati_Kunta,A4,"17°4'50.038""N","78°7'22.757""E",22.492,17.08057,78.12299
Komati_Kunta,A5,"17°4'49.93""N","78°7'23.401""E",19.354,17.08054,78.12317
Komati_Kunta,A6,"17°4'49.22""N","78°7'24.121""E",30.535,17.08034,78.12337
Komati_Kunta,A7,"17°4'48.115""N","78°7'24.017""E",34.116,17.08003,78.12334
Komati_Kunta,A8,"17°4'47.284""N","78°7'24.499""E",29.317,17.0798,78.12347
Komati_Kunta,A9,"17°4'46.765""N","78°7'24.985""E",21.385,17.07966,78.12361
Komati_Kunta,A10,"17°4'46.024""N","78°7'25.129""E",23.242,17.07945,78.12365
Komati_Kunta,A11,"17°4'45.703""N","78°7'25.72""E",20.046,17.07936,78.12381
Komati_Kunta,A12,"17°4'44.67""N","78°7'25.442""E",32.836,17.07908,78.12373
Komati_Kunta,A13,"17°4'43.504""N","78°7'25.651""E",36.36,17.07875,78.12379
Komati_Kunta,A14,"17°4'42.56""N","78°7'25.309""E",30.741,17.07849,78.1237
Komati_Kunta,A15,"17°4'41.696""N","78°7'24.283""E",40.329,17.07825,78.12341
Komati_Kunta,A16,"17°4'41.434""N","78°7'23.642""E",20.601,17.07818,78.12323
Komati_Kunta,A17,"17°4'41.06""N","78°7'22.361""E",52.047,17.07807,78.12288
Komati_Kunta,A18,"17°4'39.331""N","78°7'22.472""E",22.798,17.07759,78.12291
Komati_Kunta,A19,"17°4'39.382""N","78°7'21.925""E",16.215,17.07761,78.12276
Pulicherla_Kunta,A1,"17°3'49.885""N","78°8'12.89""E",0.0,17.06386,78.13691
Pulicherla_Kunta,A2,"17°3'49.676""N","78°8'13.567""E",21.108,17.0638,78.1371
Pulicherla_Kunta,A3,"17°3'50.598""N","78°8'14.784""E",45.787,17.06406,78.13744
Pulicherla_Kunta,A4,"17°3'51.026""N","78°8'17.002""E",66.946,17.06417,78.13806
Pulicherla_Kunta,A5,"17°3'52.337""N","78°8'20.731""E",17.469,17.06454,78.13909
Pulicherla_Kunta,A6,"17°3'53.914""N","78°8'21.329""E",51.628,17.06498,78.13926
Pulicherla_Kunta,A7,"17°3'55.588""N","78°8'21.997""E",52.824,17.06544,78.13944
Pulicherla_Kunta,A8,"17°3'57.499""N","78°8'20.256""E",62.161,17.06597,78.13896
Pulicherla_Kunta,A9,"17°3'59.096""N","78°8'19.59""E",76.666,17.06642,78.13878
